date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:07:15	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:23:44%20GMT	http://my-iddah.com/widow/books.html	C:/My%20Web%20Sites/my-iddah/my-iddah.com/widow/books.html	(from http://my-iddah.com/widow/)
02:07:18	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:23:46%20GMT	http://my-iddah.com/widow/articlesHome.html	C:/My%20Web%20Sites/my-iddah/my-iddah.com/widow/articlesHome.html	(from http://my-iddah.com/widow/)
02:07:20	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:23:49%20GMT	http://my-iddah.com/widow/Products.html	C:/My%20Web%20Sites/my-iddah/my-iddah.com/widow/Products.html	(from http://my-iddah.com/widow/)
02:07:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Apr%202020%2000:23:52%20GMT	http://my-iddah.com/?p=26	C:/My%20Web%20Sites/my-iddah/my-iddah.com/index88b9.html	(from http://my-iddah.com/divorcee/)
02:07:22	2192/2192	---M--	200	added ('OK')	application/json	date:Thu,%2030%20Apr%202020%2000:23:52%20GMT	http://my-iddah.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmy-iddah.com%2Fdivorcee%2F	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-json/oembed/1.0/embedac2b.json	(from http://my-iddah.com/divorcee/)
02:07:23	92199/92199	---M--	200	added ('OK')	image/png	etag:%2216827-554aaf133f1f0%22	http://my-iddah.com/wp-content/themes/my-iddah-new-version/images/newsletter/newsletter_bg.png	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/themes/my-iddah-new-version/images/newsletter/newsletter_bg.png	(from http://my-iddah.com/widow/)
02:07:27	2289/2289	---M-Z	200	added ('OK')	text/xml	date:Thu,%2030%20Apr%202020%2000:23:54%20GMT	http://my-iddah.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmy-iddah.com%2Fdivorcee%2F&format=xml	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-json/oembed/1.0/embedaa08	(from http://my-iddah.com/divorcee/)
02:07:29	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:23:58%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/buildyourmarriageonsolidground.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/buildyourmarriageonsolidground.jpg	(from http://my-iddah.com/divorcee/)
02:07:29	34818/34818	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:23:59%20GMT	http://my-iddah.com/build-your-new-marriage-on-solid-ground/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/build-your-new-marriage-on-solid-ground/index.html	(from http://my-iddah.com/divorcee/)
02:07:30	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:00%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/atimeplaceforeverything.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/atimeplaceforeverything.jpg	(from http://my-iddah.com/divorcee/)
